,지역,번지,본번,부번,아파트,면적,계약년월,계약일,가격,층,건축년도,도로명,단가
26325,부산광역시 수영구 남천동,03월 05일,3,5,협진태양,84.82,201910,22,51000,12,1984,광안해변로 141,601.2732846026881
26355,부산광역시 수영구 민락동,765,765,0,부산더샵센텀포레,84.9112,201910,24,51000,7,2014,수영로 776,600.6274790604773
26351,부산광역시 수영구 민락동,765,765,0,부산더샵센텀포레,84.9112,201910,1,51000,9,2014,수영로 776,600.6274790604773
25083,부산광역시 동래구 사직동,1039,1039,0,사직역 삼정그린코아 더 베스트 1차,84.9477,201910,17,51000,21,2016,사직로 8,600.3694037625504
26256,부산광역시 수영구 광안동,1330,1330,0,쌍용예가디오션,84.9528,201910,2,51000,6,2014,광안로 20,600.3333615843151
24518,부산광역시 금정구 장전동,713,713,0,장전동 금정산 SK VIEW,59.979,201910,19,36000,17,2010,식물원로 64,600.2100735257341
26997,부산광역시 해운대구 중동,1793,1793,0,해운대래미안,84.987,201910,25,51000,16,2014,좌동순환로 402,600.0917787426313
25081,부산광역시 동래구 사직동,1039,1039,0,사직역 삼정그린코아 더 베스트 1차,84.9587,201910,12,50900,17,2016,사직로 8,599.1146286372085
24693,부산광역시 남구 대연동,1808,1808,0,대연비치,66.87,201910,23,40000,2,1984,황령대로 504,598.1755645281889
26361,부산광역시 수영구 민락동,774,774,0,센텀비스타동원2차,84.951,201910,15,50600,8,2017,무학로63번길 142,595.6374851384917
24678,부산광역시 남구 대연동,1878,1878,0,대연롯데캐슬레전드2단지,84.98,201910,9,50400,3,2018,수영로 135,593.0807248764415
24991,부산광역시 동래구 명륜동,782,782,0,명륜2차아이파크,108.7986,201910,11,64500,8,2015,시실로 49,592.838510789661
26216,부산광역시 서구 암남동,764,764,0,송도 서린 엘마르,59.9026,201910,26,35500,13,2016,송도해변로 21,592.6287005906255
26161,부산광역시 서구 서대신동1가,283,283,0,대신푸르지오1차,115.8228,201910,15,68500,11,2018,대영로38번길 11,591.4206874639535
26330,부산광역시 수영구 남천동,03월 05일,3,5,협진태양,84.55,201910,29,50000,2,1984,광안해변로 141,591.3660555884093
24999,부산광역시 동래구 명륜동,782,782,0,명륜2차아이파크,84.9138,201910,25,50200,10,2015,시실로 49,591.1877692436329
26845,부산광역시 해운대구 재송동,1200,1200,0,더샵센텀파크1차,126.9004,201910,11,75000,7,2005,센텀중앙로 145,591.0146855329061
25164,부산광역시 동래구 온천동,707,707,0,동래럭키,84.64,201910,9,50000,9,1983,충렬대로107번길 54,590.7372400756144
24356,부산광역시 금정구 구서동,1074,1074,0,구서 SK VIEW 1단지,84.959,201910,5,50000,8,2016,금샘로246번길 18,588.519168069304
